============================================================
  Generated by:           Genus(TM) Synthesis Solution 21.17-s066_1
  Generated on:           Apr 10 2025  09:35:17 pm
  Module:                 topSystolicArray
  Operating conditions:   typical (balanced_tree)
  Wireload mode:          enclosed
  Area mode:              timing library
============================================================

           Instance                  Module       Cell Count  Cell Area  Net Area   Total Area       Wireload      
-------------------------------------------------------------------------------------------------------------------
topSystolicArray                                      289420 688076.564     0.000   688076.564 5K_hvratio_1_1 (D)  
    PerRow[12].PerCol[7].u_pe  pe_199                    969   2319.786     0.000     2319.786 5K_hvratio_1_1 (D)  
    PerRow[12].PerCol[6].u_pe  pe_198                    969   2319.786     0.000     2319.786 5K_hvratio_1_1 (D)  
    PerRow[12].PerCol[5].u_pe  pe_197                   1032   2353.302     0.000     2353.302 5K_hvratio_1_1 (D)  
    PerRow[12].PerCol[4].u_pe  pe_196                    971   2321.116     0.000     2321.116 5K_hvratio_1_1 (D)  
    PerRow[11].PerCol[9].u_pe  pe_185                    974   2322.180     0.000     2322.180 5K_hvratio_1_1 (D)  
    PerRow[10].PerCol[9].u_pe  pe_169                    962   2322.180     0.000     2322.180 5K_hvratio_1_1 (D)  
    PerRow[4].PerCol[12].u_pe  pe_76                     963   2320.850     0.000     2320.850 5K_hvratio_1_1 (D)  
    PerRow[2].PerCol[11].u_pe  pe_43                     962   2320.318     0.000     2320.318 5K_hvratio_1_1 (D)  
    PerRow[1].PerCol[7].u_pe   pe_23                     972   2321.382     0.000     2321.382 5K_hvratio_1_1 (D)  
    PerRow[0].PerCol[7].u_pe   pe_7                      970   2320.318     0.000     2320.318 5K_hvratio_1_1 (D)  
    PerRow[5].PerCol[13].u_pe  pe_93                     974   2322.180     0.000     2322.180 5K_hvratio_1_1 (D)  
    PerRow[4].PerCol[14].u_pe  pe_78                     972   2321.382     0.000     2321.382 5K_hvratio_1_1 (D)  
    PerRow[4].PerCol[13].u_pe  pe_77                     974   2325.638     0.000     2325.638 5K_hvratio_1_1 (D)  
    PerRow[3].PerCol[14].u_pe  pe_62                     972   2322.978     0.000     2322.978 5K_hvratio_1_1 (D)  
    PerRow[3].PerCol[13].u_pe  pe_61                     962   2324.042     0.000     2324.042 5K_hvratio_1_1 (D)  
    PerRow[3].PerCol[8].u_pe   pe_56                     974   2322.180     0.000     2322.180 5K_hvratio_1_1 (D)  
    PerRow[2].PerCol[10].u_pe  pe_42                     972   2321.382     0.000     2321.382 5K_hvratio_1_1 (D)  
    PerRow[2].PerCol[9].u_pe   pe_41                     972   2323.244     0.000     2323.244 5K_hvratio_1_1 (D)  
    PerRow[2].PerCol[8].u_pe   pe_40                     973   2325.372     0.000     2325.372 5K_hvratio_1_1 (D)  
    PerRow[2].PerCol[7].u_pe   pe_39                     972   2323.244     0.000     2323.244 5K_hvratio_1_1 (D)  
    PerRow[1].PerCol[10].u_pe  pe_26                     972   2322.978     0.000     2322.978 5K_hvratio_1_1 (D)  
    PerRow[1].PerCol[9].u_pe   pe_25                     972   2325.106     0.000     2325.106 5K_hvratio_1_1 (D)  
    PerRow[1].PerCol[8].u_pe   pe_24                     963   2324.574     0.000     2324.574 5K_hvratio_1_1 (D)  
    PerRow[0].PerCol[13].u_pe  pe_13                     971   2320.584     0.000     2320.584 5K_hvratio_1_1 (D)  
    PerRow[0].PerCol[10].u_pe  pe_10                     970   2321.914     0.000     2321.914 5K_hvratio_1_1 (D)  
    PerRow[0].PerCol[9].u_pe   pe_9                      971   2324.042     0.000     2324.042 5K_hvratio_1_1 (D)  
    PerRow[15].PerCol[2].u_pe  pe_242                    946   2213.918     0.000     2213.918 5K_hvratio_1_1 (D)  
    PerRow[12].PerCol[1].u_pe  pe_193                    970   2320.318     0.000     2320.318 5K_hvratio_1_1 (D)  
    PerRow[12].PerCol[0].u_pe  pe_192                    975   2322.978     0.000     2322.978 5K_hvratio_1_1 (D)  
    PerRow[11].PerCol[2].u_pe  pe_178                    972   2321.382     0.000     2321.382 5K_hvratio_1_1 (D)  
    PerRow[11].PerCol[1].u_pe  pe_177                    972   2321.382     0.000     2321.382 5K_hvratio_1_1 (D)  
    PerRow[11].PerCol[0].u_pe  pe_176                    973   2321.914     0.000     2321.914 5K_hvratio_1_1 (D)  
    PerRow[12].PerCol[3].u_pe  pe_195                    971   2320.584     0.000     2320.584 5K_hvratio_1_1 (D)  
    PerRow[11].PerCol[3].u_pe  pe_179                    974   2325.638     0.000     2325.638 5K_hvratio_1_1 (D)  
    PerRow[3].PerCol[11].u_pe  pe_59                     975   2325.904     0.000     2325.904 5K_hvratio_1_1 (D)  
    PerRow[3].PerCol[10].u_pe  pe_58                     972   2323.244     0.000     2323.244 5K_hvratio_1_1 (D)  
    PerRow[3].PerCol[9].u_pe   pe_57                     962   2323.510     0.000     2323.510 5K_hvratio_1_1 (D)  
    PerRow[2].PerCol[14].u_pe  pe_46                     972   2321.382     0.000     2321.382 5K_hvratio_1_1 (D)  
    PerRow[2].PerCol[13].u_pe  pe_45                     974   2324.042     0.000     2324.042 5K_hvratio_1_1 (D)  
    PerRow[1].PerCol[14].u_pe  pe_30                     972   2322.712     0.000     2322.712 5K_hvratio_1_1 (D)  
    PerRow[1].PerCol[13].u_pe  pe_29                     972   2325.106     0.000     2325.106 5K_hvratio_1_1 (D)  
    PerRow[1].PerCol[12].u_pe  pe_28                     973   2323.776     0.000     2323.776 5K_hvratio_1_1 (D)  
    PerRow[1].PerCol[11].u_pe  pe_27                     974   2324.042     0.000     2324.042 5K_hvratio_1_1 (D)  
    PerRow[0].PerCol[12].u_pe  pe_12                     975   2324.308     0.000     2324.308 5K_hvratio_1_1 (D)  
    PerRow[0].PerCol[11].u_pe  pe_11                     971   2323.776     0.000     2323.776 5K_hvratio_1_1 (D)  
    PerRow[15].PerCol[3].u_pe  pe_243                    958   2216.844     0.000     2216.844 5K_hvratio_1_1 (D)  
    PerRow[14].PerCol[3].u_pe  pe_227                    975   2327.234     0.000     2327.234 5K_hvratio_1_1 (D)  
    PerRow[13].PerCol[3].u_pe  pe_211                    962   2320.318     0.000     2320.318 5K_hvratio_1_1 (D)  
    PerRow[5].PerCol[15].u_pe  pe_95                     956   2216.046     0.000     2216.046 5K_hvratio_1_1 (D)  
    PerRow[5].PerCol[14].u_pe  pe_94                     962   2320.318     0.000     2320.318 5K_hvratio_1_1 (D)  
    PerRow[4].PerCol[15].u_pe  pe_79                     958   2215.780     0.000     2215.780 5K_hvratio_1_1 (D)  
    PerRow[3].PerCol[15].u_pe  pe_63                     958   2216.844     0.000     2216.844 5K_hvratio_1_1 (D)  
    PerRow[3].PerCol[12].u_pe  pe_60                     974   2322.180     0.000     2322.180 5K_hvratio_1_1 (D)  
    PerRow[3].PerCol[7].u_pe   pe_55                     972   2321.382     0.000     2321.382 5K_hvratio_1_1 (D)  
    PerRow[2].PerCol[15].u_pe  pe_47                     958   2215.780     0.000     2215.780 5K_hvratio_1_1 (D)  
    PerRow[2].PerCol[12].u_pe  pe_44                     963   2320.850     0.000     2320.850 5K_hvratio_1_1 (D)  
