============================================================
  Generated by:           Genus(TM) Synthesis Solution 21.17-s066_1
  Generated on:           Apr 10 2025  09:35:17 pm
  Module:                 topSystolicArray
  Operating conditions:   typical (balanced_tree)
  Wireload mode:          enclosed
  Area mode:              timing library
============================================================

           Instance                  Module       Cell Count  Cell Area  Net Area   Total Area       Wireload      
-------------------------------------------------------------------------------------------------------------------
topSystolicArray                                      289420 688076.564     0.000   688076.564 5K_hvratio_1_1 (D)  
    PerRow[7].PerCol[0].u_pe   pe_112                    969   2319.786     0.000     2319.786 5K_hvratio_1_1 (D)  
    PerRow[6].PerCol[6].u_pe   pe_102                    962   2320.318     0.000     2320.318 5K_hvratio_1_1 (D)  
    PerRow[2].PerCol[3].u_pe   pe_35                     972   2321.382     0.000     2321.382 5K_hvratio_1_1 (D)  
    PerRow[2].PerCol[2].u_pe   pe_34                     972   2321.382     0.000     2321.382 5K_hvratio_1_1 (D)  
    PerRow[2].PerCol[1].u_pe   pe_33                     972   2321.382     0.000     2321.382 5K_hvratio_1_1 (D)  
    PerRow[2].PerCol[0].u_pe   pe_32                     973   2321.914     0.000     2321.914 5K_hvratio_1_1 (D)  
    PerRow[1].PerCol[3].u_pe   pe_19                     962   2320.318     0.000     2320.318 5K_hvratio_1_1 (D)  
    PerRow[1].PerCol[1].u_pe   pe_17                     972   2321.382     0.000     2321.382 5K_hvratio_1_1 (D)  
    PerRow[1].PerCol[0].u_pe   pe_16                     973   2321.914     0.000     2321.914 5K_hvratio_1_1 (D)  
    PerRow[0].PerCol[0].u_pe   pe                        975   2322.978     0.000     2322.978 5K_hvratio_1_1 (D)  
    PerRow[10].PerCol[4].u_pe  pe_164                    972   2325.106     0.000     2325.106 5K_hvratio_1_1 (D)  
    PerRow[10].PerCol[3].u_pe  pe_163                    962   2323.776     0.000     2323.776 5K_hvratio_1_1 (D)  
    PerRow[9].PerCol[4].u_pe   pe_148                    962   2323.244     0.000     2323.244 5K_hvratio_1_1 (D)  
    PerRow[7].PerCol[3].u_pe   pe_115                    962   2320.318     0.000     2320.318 5K_hvratio_1_1 (D)  
    PerRow[1].PerCol[2].u_pe   pe_18                     974   2322.180     0.000     2322.180 5K_hvratio_1_1 (D)  
    PerRow[0].PerCol[2].u_pe   pe_2                      970   2321.914     0.000     2321.914 5K_hvratio_1_1 (D)  
    PerRow[0].PerCol[1].u_pe   pe_1                      971   2322.446     0.000     2322.446 5K_hvratio_1_1 (D)  
    PerRow[7].PerCol[4].u_pe   pe_116                    974   2322.180     0.000     2322.180 5K_hvratio_1_1 (D)  
    PerRow[6].PerCol[5].u_pe   pe_101                    972   2321.382     0.000     2321.382 5K_hvratio_1_1 (D)  
    PerRow[6].PerCol[4].u_pe   pe_100                    974   2326.170     0.000     2326.170 5K_hvratio_1_1 (D)  
    PerRow[5].PerCol[6].u_pe   pe_86                     972   2321.382     0.000     2321.382 5K_hvratio_1_1 (D)  
    PerRow[5].PerCol[5].u_pe   pe_85                     972   2324.840     0.000     2324.840 5K_hvratio_1_1 (D)  
    PerRow[5].PerCol[4].u_pe   pe_84                     974   2326.170     0.000     2326.170 5K_hvratio_1_1 (D)  
    PerRow[4].PerCol[6].u_pe   pe_70                     970   2323.776     0.000     2323.776 5K_hvratio_1_1 (D)  
    PerRow[4].PerCol[5].u_pe   pe_69                     969   2323.776     0.000     2323.776 5K_hvratio_1_1 (D)  
    PerRow[4].PerCol[4].u_pe   pe_68                     969   2323.776     0.000     2323.776 5K_hvratio_1_1 (D)  
    PerRow[4].PerCol[3].u_pe   pe_67                     970   2320.318     0.000     2320.318 5K_hvratio_1_1 (D)  
    PerRow[4].PerCol[2].u_pe   pe_66                     971   2320.584     0.000     2320.584 5K_hvratio_1_1 (D)  
    PerRow[3].PerCol[6].u_pe   pe_54                     963   2325.372     0.000     2325.372 5K_hvratio_1_1 (D)  
    PerRow[3].PerCol[3].u_pe   pe_51                     972   2321.382     0.000     2321.382 5K_hvratio_1_1 (D)  
    PerRow[3].PerCol[2].u_pe   pe_50                     962   2323.776     0.000     2323.776 5K_hvratio_1_1 (D)  
  (D) = wireload is default in technology library
